number_contacts,client_id,contact,contact_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
1,79,telephone,208,999,0,,no,1,2022-05-21
1,80,telephone,193,999,0,,no,1,2022-05-29
1,81,telephone,212,999,0,,no,1,2022-05-29
2,82,telephone,165,999,0,,no,1,2022-05-27
1,83,telephone,1042,999,0,,yes,1,2022-05-06
1,84,telephone,20,999,0,,no,1,2022-05-23
1,85,telephone,246,999,0,,no,1,2022-05-12
2,86,telephone,529,999,0,,no,1,2022-05-23
1,87,telephone,192,999,0,,no,1,2022-05-21
1,88,telephone,1467,999,0,,yes,1,2022-05-19
2,89,telephone,188,999,0,,no,1,2022-05-17
2,90,telephone,180,999,0,,no,1,2022-05-29
1,91,telephone,48,999,0,,no,1,2022-05-05
2,92,telephone,213,999,0,,no,1,2022-05-02
1,93,telephone,545,999,0,,no,1,2022-05-27
1,94,telephone,583,999,0,,no,1,2022-05-28
1,95,telephone,221,999,0,,no,1,2022-05-25
1,96,telephone,426,999,0,,no,1,2022-05-17
1,97,telephone,287,999,0,,no,1,2022-05-27
1,98,telephone,197,999,0,,no,1,2022-05-30
1,99,telephone,257,999,0,,no,1,2022-05-03
1,100,telephone,229,999,0,,no,1,2022-05-25
3,101,telephone,55,999,0,,no,1,2022-05-30
1,102,telephone,400,999,0,,no,1,2022-05-27
1,103,telephone,197,999,0,,no,1,2022-05-19
1,104,telephone,190,999,0,,no,1,2022-05-24
1,105,telephone,21,999,0,,no,1,2022-05-08
2,106,telephone,300,999,0,,no,1,2022-05-22
2,107,telephone,123,999,0,,no,1,2022-05-09
1,108,telephone,293,999,0,,no,1,2022-05-15
1,109,telephone,325,999,0,,no,1,2022-05-09
1,110,telephone,514,999,0,,no,1,2022-05-04
2,111,telephone,849,999,0,,no,1,2022-05-01
1,112,telephone,194,999,0,,no,1,2022-05-25
2,113,telephone,212,999,0,,no,1,2022-05-04
2,114,telephone,337,999,0,,no,1,2022-05-06
1,115,telephone,286,999,0,,no,1,2022-05-20
2,116,telephone,247,999,0,,no,1,2022-05-31
1,117,telephone,518,999,0,,no,1,2022-05-24
1,118,telephone,364,999,0,,no,1,2022-05-06
1,119,telephone,178,999,0,,no,1,2022-05-26
1,120,telephone,98,999,0,,no,1,2022-05-21
1,121,telephone,439,999,0,,no,1,2022-05-01
1,122,telephone,139,999,0,,no,1,2022-05-18
1,123,telephone,79,999,0,,no,1,2022-05-09
1,124,telephone,175,999,0,,no,1,2022-05-26
2,125,telephone,262,999,0,,no,1,2022-05-21
1,126,telephone,61,999,0,,no,1,2022-05-31
1,127,telephone,78,999,0,,no,1,2022-05-24
2,128,telephone,102,999,0,,no,1,2022-05-23
1,129,telephone,579,999,0,,yes,1,2022-05-12
1,130,telephone,143,999,0,,no,1,2022-05-29
1,131,telephone,677,999,0,,no,1,2022-05-20
1,132,telephone,267,999,0,,no,1,2022-05-22
1,133,telephone,345,999,0,,no,1,2022-05-12
1,134,telephone,185,999,0,,no,1,2022-05-19
1,135,telephone,207,999,0,,no,1,2022-05-05
2,136,telephone,69,999,0,,no,1,2022-05-26
2,137,telephone,100,999,0,,no,1,2022-05-19
2,138,telephone,125,999,0,,no,1,2022-05-28
1,139,telephone,461,999,0,,yes,1,2022-05-27
1,140,telephone,240,999,0,,no,1,2022-05-16
1,141,telephone,70,999,0,,no,1,2022-05-22
1,142,telephone,193,999,0,,no,1,2022-05-24
1,143,telephone,136,999,0,,no,1,2022-05-17
1,144,telephone,73,999,0,,no,1,2022-05-24
1,145,telephone,528,999,0,,no,1,2022-05-06
1,146,telephone,541,999,0,,no,1,2022-05-11
1,147,telephone,338,999,0,,no,1,2022-05-16
1,148,telephone,163,999,0,,no,1,2022-05-28
1,149,telephone,87,999,0,,no,1,2022-05-25
1,150,telephone,301,999,0,,no,1,2022-05-03
1,151,telephone,46,999,0,,no,1,2022-05-22
1,152,telephone,52,999,0,,no,1,2022-05-08
1,153,telephone,204,999,0,,no,1,2022-05-03
1,154,telephone,155,999,0,,no,1,2022-05-12
1,155,telephone,98,999,0,,no,1,2022-05-15
1,156,telephone,71,999,0,,no,1,2022-05-25
1,157,telephone,243,999,0,,no,1,2022-05-29
2,158,telephone,186,999,0,,no,1,2022-05-07
2,159,telephone,579,999,0,,no,1,2022-05-27
2,160,telephone,165,999,0,,no,1,2022-05-03
2,161,telephone,163,999,0,,no,1,2022-05-09
1,162,telephone,46,999,0,,no,1,2022-05-29
3,163,telephone,559,999,0,,no,1,2022-05-15
1,164,telephone,2033,999,0,,no,1,2022-05-18
1,165,telephone,85,999,0,,no,1,2022-05-22
1,166,telephone,506,999,0,,no,1,2022-05-04
2,167,telephone,114,999,0,,no,1,2022-05-12
2,168,telephone,114,999,0,,no,1,2022-05-19
2,169,telephone,843,999,0,,no,1,2022-05-25
1,170,telephone,181,999,0,,no,1,2022-05-12
1,171,telephone,427,999,0,,no,1,2022-05-05
1,172,telephone,292,999,0,,no,1,2022-05-24
1,173,telephone,192,999,0,,no,1,2022-05-07
3,174,telephone,93,999,0,,no,1,2022-05-02
2,175,telephone,128,999,0,,no,1,2022-05-09
1,176,telephone,107,999,0,,no,1,2022-05-29
2,177,telephone,303,999,0,,no,1,2022-05-13
1,178,telephone,81,999,0,,no,1,2022-05-11
1,179,telephone,270,999,0,,no,1,2022-05-30
1,180,telephone,228,999,0,,no,1,2022-05-12
1,181,telephone,240,999,0,,no,1,2022-05-31
2,182,telephone,673,999,0,,yes,1,2022-05-20
3,183,telephone,233,999,0,,no,1,2022-05-08
1,184,telephone,102,999,0,,no,1,2022-05-13
1,185,telephone,461,999,0,,no,1,2022-05-19
1,186,telephone,250,999,0,,no,1,2022-05-20
1,187,telephone,130,999,0,,no,1,2022-05-03
1,188,telephone,252,999,0,,no,1,2022-05-18
1,189,telephone,138,999,0,,no,1,2022-05-19
1,190,telephone,412,999,0,,no,1,2022-05-10
2,191,telephone,179,999,0,,no,1,2022-05-19
2,192,telephone,19,999,0,,no,1,2022-05-07
2,193,telephone,228,999,0,,no,1,2022-05-26
1,194,telephone,55,999,0,,no,1,2022-05-31
1,195,telephone,717,999,0,,no,1,2022-05-06
1,196,telephone,313,999,0,,no,1,2022-05-07
1,197,telephone,289,999,0,,no,1,2022-05-29
2,198,telephone,683,999,0,,no,1,2022-05-25
1,199,telephone,1077,999,0,,no,1,2022-05-29
2,200,telephone,146,999,0,,no,1,2022-05-09
1,201,telephone,167,999,0,,no,1,2022-05-15
2,202,telephone,356,999,0,,no,1,2022-05-20
1,203,telephone,277,999,0,,no,1,2022-05-13
1,204,telephone,172,999,0,,no,1,2022-05-09
1,205,telephone,218,999,0,,no,1,2022-05-10
1,206,telephone,217,999,0,,no,1,2022-05-04
1,207,telephone,67,999,0,,no,1,2022-05-26
1,208,telephone,291,999,0,,no,1,2022-05-08
1,209,telephone,248,999,0,,no,1,2022-05-24
1,210,telephone,256,999,0,,no,1,2022-05-19
1,211,telephone,286,999,0,,no,1,2022-05-25
1,212,telephone,477,999,0,,no,1,2022-05-31
2,213,telephone,611,999,0,,no,1,2022-05-05
1,214,telephone,471,999,0,,no,1,2022-05-14
2,215,telephone,381,999,0,,no,1,2022-05-22
1,216,telephone,251,999,0,,no,1,2022-05-02
1,217,telephone,408,999,0,,no,1,2022-05-20
1,218,telephone,287,999,0,,no,1,2022-05-29
3,219,telephone,322,999,0,,no,1,2022-05-09
2,220,telephone,216,999,0,,no,1,2022-05-20
2,221,telephone,366,999,0,,no,1,2022-05-26
1,222,telephone,210,999,0,,no,1,2022-05-26
1,223,telephone,288,999,0,,no,1,2022-05-19
1,224,telephone,168,999,0,,no,1,2022-05-15
1,225,telephone,132,999,0,,no,1,2022-05-17
2,226,telephone,64,999,0,,no,1,2022-05-26
2,227,telephone,209,999,0,,no,1,2022-05-08
3,228,telephone,410,999,0,,no,1,2022-05-09
1,229,telephone,177,999,0,,no,1,2022-05-19
2,230,telephone,580,999,0,,no,1,2022-05-06
1,231,telephone,165,999,0,,no,1,2022-05-23
2,232,telephone,127,999,0,,no,1,2022-05-27
1,233,telephone,357,999,0,,no,1,2022-05-17
1,234,telephone,175,999,0,,no,1,2022-05-10
1,235,telephone,300,999,0,,no,1,2022-05-06
1,236,telephone,136,999,0,,no,1,2022-05-19
2,237,telephone,125,999,0,,no,1,2022-05-24
2,238,telephone,189,999,0,,no,1,2022-05-04
3,239,telephone,213,999,0,,no,1,2022-05-02
2,240,telephone,238,999,0,,no,1,2022-05-10
1,241,telephone,124,999,0,,no,1,2022-05-04
1,242,telephone,18,999,0,,no,1,2022-05-02
2,243,telephone,730,999,0,,no,1,2022-05-17
1,244,telephone,40,999,0,,no,1,2022-05-11
2,245,telephone,181,999,0,,no,1,2022-05-16
1,246,telephone,79,999,0,,no,1,2022-05-20
2,247,telephone,142,999,0,,no,1,2022-05-06
1,248,telephone,389,999,0,,no,1,2022-05-10
1,249,telephone,702,999,0,,no,1,2022-05-24
1,250,telephone,151,999,0,,no,1,2022-05-23
1,251,telephone,211,999,0,,no,1,2022-05-07
1,252,telephone,117,999,0,,no,1,2022-05-26
3,253,telephone,232,999,0,,no,1,2022-05-24
2,254,telephone,408,999,0,,no,1,2022-05-08
3,255,telephone,370,999,0,,no,1,2022-05-15
2,256,telephone,179,999,0,,no,1,2022-05-06
1,257,telephone,46,999,0,,no,1,2022-05-01
1,258,telephone,200,999,0,,no,1,2022-05-22
1,259,telephone,50,999,0,,no,1,2022-05-04
1,260,telephone,181,999,0,,no,1,2022-05-07
1,261,telephone,119,999,0,,no,1,2022-05-26
1,262,telephone,361,999,0,,no,1,2022-05-17
3,263,telephone,73,999,0,,no,1,2022-05-16
2,264,telephone,67,999,0,,no,1,2022-05-24
1,265,telephone,350,999,0,,no,1,2022-05-10
2,266,telephone,150,999,0,,no,1,2022-05-18
2,267,telephone,332,999,0,,no,1,2022-05-09
2,268,telephone,611,999,0,,no,1,2022-05-13
3,269,telephone,58,999,0,,no,1,2022-05-25
1,270,telephone,151,999,0,,no,1,2022-05-26
2,271,telephone,89,999,0,,no,1,2022-05-10
1,272,telephone,152,999,0,,no,1,2022-05-05
2,273,telephone,611,999,0,,no,1,2022-05-25
2,274,telephone,110,999,0,,no,1,2022-05-28
1,275,telephone,463,999,0,,no,1,2022-05-16
1,276,telephone,962,999,0,,no,1,2022-05-08
2,277,telephone,102,999,0,,no,1,2022-05-22
4,278,telephone,10,999,0,,no,1,2022-05-04
3,279,telephone,118,999,0,,no,1,2022-05-31
2,280,telephone,92,999,0,,no,1,2022-05-04
3,281,telephone,143,999,0,,no,1,2022-05-10
3,282,telephone,189,999,0,,no,1,2022-05-09
2,283,telephone,75,999,0,,no,1,2022-05-18
2,284,telephone,189,999,0,,no,1,2022-05-28
2,285,telephone,55,999,0,,no,1,2022-05-11
3,286,telephone,935,999,0,,yes,1,2022-05-31
2,287,telephone,56,999,0,,no,1,2022-05-25
2,288,telephone,5,999,0,,no,1,2022-05-15
2,289,telephone,225,999,0,,no,1,2022-05-23
2,290,telephone,125,999,0,,no,1,2022-05-07
2,291,telephone,286,999,0,,no,1,2022-05-09
2,292,telephone,206,999,0,,no,1,2022-05-15
2,293,telephone,164,999,0,,no,1,2022-05-16
2,294,telephone,98,999,0,,no,1,2022-05-05
2,295,telephone,446,999,0,,no,1,2022-05-03
2,296,telephone,742,999,0,,no,1,2022-05-31
2,297,telephone,120,999,0,,no,1,2022-05-06
3,298,telephone,122,999,0,,no,1,2022-05-13
4,299,telephone,362,999,0,,no,1,2022-05-25
2,300,telephone,357,999,0,,no,1,2022-05-19
2,301,telephone,200,999,0,,no,1,2022-05-27
2,302,telephone,107,999,0,,no,1,2022-05-05
2,303,telephone,267,999,0,,no,1,2022-05-13
2,304,telephone,248,999,0,,no,1,2022-05-22
2,305,telephone,215,999,0,,no,1,2022-05-08
2,306,telephone,209,999,0,,no,1,2022-05-22
2,307,telephone,205,999,0,,no,1,2022-05-15
3,308,telephone,261,999,0,,no,1,2022-05-09
2,309,telephone,83,999,0,,no,1,2022-05-20
3,310,telephone,106,999,0,,no,1,2022-05-13
2,311,telephone,106,999,0,,no,1,2022-05-27
2,312,telephone,108,999,0,,no,1,2022-05-28
2,313,telephone,214,999,0,,no,1,2022-05-17
2,314,telephone,358,999,0,,no,1,2022-05-09
2,315,telephone,453,999,0,,no,1,2022-05-07
2,316,telephone,364,999,0,,no,1,2022-05-13
2,317,telephone,136,999,0,,no,1,2022-05-19
2,318,telephone,173,999,0,,no,1,2022-05-20
2,319,telephone,241,999,0,,no,1,2022-05-07
3,320,telephone,224,999,0,,no,1,2022-05-22
2,321,telephone,148,999,0,,no,1,2022-05-31
2,322,telephone,230,999,0,,no,1,2022-05-10
3,323,telephone,199,999,0,,no,1,2022-05-15
2,324,telephone,196,999,0,,no,1,2022-05-10
4,325,telephone,111,999,0,,no,1,2022-05-23
3,326,telephone,231,999,0,,no,1,2022-05-01
3,327,telephone,316,999,0,,no,1,2022-05-16
2,328,telephone,240,999,0,,no,1,2022-05-27
3,329,telephone,669,999,0,,no,1,2022-05-21
2,330,telephone,425,999,0,,no,1,2022-05-31
2,331,telephone,121,999,0,,no,1,2022-05-09
5,332,telephone,174,999,0,,no,1,2022-05-30
5,333,telephone,88,999,0,,no,1,2022-05-07
3,334,telephone,313,999,0,,no,1,2022-05-01
4,335,telephone,135,999,0,,no,1,2022-05-28
2,336,telephone,152,999,0,,no,1,2022-05-27
3,337,telephone,402,999,0,,no,1,2022-05-29
2,338,telephone,221,999,0,,no,1,2022-05-19
2,339,telephone,213,999,0,,no,1,2022-05-10
3,340,telephone,144,999,0,,no,1,2022-05-05
3,341,telephone,158,999,0,,no,1,2022-05-11
3,342,telephone,220,999,0,,no,1,2022-05-22
2,343,telephone,325,999,0,,no,1,2022-05-26
2,344,telephone,254,999,0,,no,1,2022-05-02
2,345,telephone,503,999,0,,no,1,2022-05-24
2,346,telephone,680,999,0,,no,1,2022-05-26
4,347,telephone,421,999,0,,no,1,2022-05-25
3,348,telephone,130,999,0,,no,1,2022-05-23
2,349,telephone,164,999,0,,no,1,2022-05-03
3,350,telephone,174,999,0,,no,1,2022-05-06
2,351,telephone,113,999,0,,no,1,2022-05-01
2,352,telephone,195,999,0,,no,1,2022-05-22
3,353,telephone,347,999,0,,no,1,2022-05-01
2,354,telephone,208,999,0,,no,1,2022-05-20
4,355,telephone,404,999,0,,no,1,2022-05-07
2,356,telephone,396,999,0,,no,1,2022-05-02
2,357,telephone,98,999,0,,no,1,2022-05-21
3,358,telephone,229,999,0,,no,1,2022-05-28
2,359,telephone,350,999,0,,no,1,2022-05-27
3,360,telephone,88,999,0,,no,1,2022-05-16
2,361,telephone,379,999,0,,no,1,2022-05-30
3,362,telephone,168,999,0,,no,1,2022-05-08
3,363,telephone,190,999,0,,no,1,2022-05-22
1,364,telephone,158,999,0,,no,1,2022-05-24
1,365,telephone,210,999,0,,no,1,2022-05-05
1,366,telephone,102,999,0,,no,1,2022-05-24
1,367,telephone,306,999,0,,no,1,2022-05-08
1,368,telephone,64,999,0,,no,1,2022-05-26
1,369,telephone,218,999,0,,no,1,2022-05-12
1,370,telephone,77,999,0,,no,1,2022-05-02
1,371,telephone,54,999,0,,no,1,2022-05-04
1,372,telephone,344,999,0,,no,1,2022-05-01
1,373,telephone,195,999,0,,no,1,2022-05-16
1,374,telephone,202,999,0,,no,1,2022-05-16
1,375,telephone,286,999,0,,no,1,2022-05-21
1,376,telephone,278,999,0,,no,1,2022-05-11
1,377,telephone,189,999,0,,no,1,2022-05-01
1,378,telephone,83,999,0,,no,1,2022-05-28
1,379,telephone,18,999,0,,no,1,2022-05-26
2,380,telephone,184,999,0,,no,1,2022-05-18
1,381,telephone,235,999,0,,no,1,2022-05-13
1,382,telephone,290,999,0,,no,1,2022-05-21
1,383,telephone,133,999,0,,no,1,2022-05-24
1,384,telephone,318,999,0,,no,1,2022-05-08
1,385,telephone,437,999,0,,no,1,2022-05-07
1,386,telephone,402,999,0,,no,1,2022-05-13
4,387,telephone,501,999,0,,no,1,2022-05-31
1,388,telephone,1201,999,0,,yes,1,2022-05-02
1,389,telephone,1030,999,0,,yes,1,2022-05-10
1,390,telephone,253,999,0,,no,1,2022-05-03
1,391,telephone,149,999,0,,no,1,2022-05-29
1,392,telephone,144,999,0,,no,1,2022-05-10
1,393,telephone,69,999,0,,no,1,2022-05-24
1,394,telephone,243,999,0,,no,1,2022-05-23
2,395,telephone,769,999,0,,no,1,2022-05-06
3,396,telephone,135,999,0,,no,1,2022-05-03
1,397,telephone,231,999,0,,no,1,2022-05-04
2,398,telephone,442,999,0,,no,1,2022-05-17
1,399,telephone,199,999,0,,no,1,2022-05-05
1,400,telephone,455,999,0,,no,1,2022-05-22
1,401,telephone,152,999,0,,no,1,2022-05-21
1,402,telephone,124,999,0,,no,1,2022-05-23
1,403,telephone,424,999,0,,no,1,2022-05-19
1,404,telephone,43,999,0,,no,1,2022-05-16
1,405,telephone,154,999,0,,no,1,2022-05-04
1,406,telephone,393,999,0,,no,1,2022-05-26
2,407,telephone,203,999,0,,no,1,2022-05-03
2,408,telephone,140,999,0,,no,1,2022-05-23
1,409,telephone,326,999,0,,no,1,2022-05-30
1,410,telephone,483,999,0,,no,1,2022-05-03
1,411,telephone,259,999,0,,no,1,2022-05-12
1,412,telephone,227,999,0,,no,1,2022-05-01
1,413,telephone,673,999,0,,no,1,2022-05-01
1,414,telephone,576,999,0,,no,1,2022-05-23
2,415,telephone,180,999,0,,no,1,2022-05-24
1,416,telephone,90,999,0,,no,1,2022-05-18
1,417,telephone,505,999,0,,no,1,2022-05-22
1,418,telephone,245,999,0,,no,1,2022-05-03
1,419,telephone,186,999,0,,no,1,2022-05-23
1,420,telephone,208,999,0,,no,1,2022-05-05
1,421,telephone,623,999,0,,no,1,2022-05-30
1,422,telephone,180,999,0,,no,1,2022-05-08
3,423,telephone,496,999,0,,no,1,2022-05-11
1,424,telephone,118,999,0,,no,1,2022-05-20
2,425,telephone,102,999,0,,no,1,2022-05-16
1,426,telephone,342,999,0,,no,1,2022-05-09
1,427,telephone,225,999,0,,no,1,2022-05-01
3,428,telephone,185,999,0,,no,1,2022-05-03
1,429,telephone,276,999,0,,no,1,2022-05-12
1,430,telephone,87,999,0,,no,1,2022-05-29
1,431,telephone,744,999,0,,no,1,2022-05-13
1,432,telephone,262,999,0,,no,1,2022-05-22
1,433,telephone,271,999,0,,no,1,2022-05-25
1,434,telephone,141,999,0,,no,1,2022-05-26
2,435,telephone,198,999,0,,no,1,2022-05-05
1,436,telephone,150,999,0,,no,1,2022-05-13
1,437,telephone,241,999,0,,no,1,2022-05-22
1,438,telephone,196,999,0,,no,1,2022-05-18
1,439,telephone,149,999,0,,no,1,2022-05-18
1,440,telephone,264,999,0,,no,1,2022-05-11
1,441,telephone,246,999,0,,no,1,2022-05-22
2,442,telephone,309,999,0,,no,1,2022-05-27
1,443,telephone,140,999,0,,no,1,2022-05-20
1,444,telephone,175,999,0,,no,1,2022-05-13
1,445,telephone,136,999,0,,no,1,2022-05-07
1,446,telephone,1623,999,0,,yes,1,2022-05-29
1,447,telephone,50,999,0,,no,1,2022-05-16
1,448,telephone,101,999,0,,no,1,2022-05-15
1,449,telephone,144,999,0,,no,1,2022-05-09
1,450,telephone,238,999,0,,no,1,2022-05-17
1,451,telephone,354,999,0,,no,1,2022-05-13
2,452,telephone,451,999,0,,no,1,2022-05-07
1,453,telephone,159,999,0,,no,1,2022-05-23
1,454,telephone,170,999,0,,no,1,2022-05-19
1,455,telephone,243,999,0,,no,1,2022-05-30
2,456,telephone,141,999,0,,no,1,2022-05-03
1,457,telephone,112,999,0,,no,1,2022-05-08
2,458,telephone,262,999,0,,no,1,2022-05-01
1,459,telephone,53,999,0,,no,1,2022-05-09
1,460,telephone,134,999,0,,no,1,2022-05-25
4,461,telephone,204,999,0,,no,1,2022-05-21
1,462,telephone,678,999,0,,no,1,2022-05-22
1,463,telephone,182,999,0,,no,1,2022-05-18
1,464,telephone,162,999,0,,no,1,2022-05-26
1,465,telephone,177,999,0,,no,1,2022-05-05
1,466,telephone,27,999,0,,no,1,2022-05-12
3,467,telephone,699,999,0,,no,1,2022-05-20
1,468,telephone,358,999,0,,no,1,2022-05-13
1,469,telephone,1677,999,0,,yes,1,2022-05-18
1,470,telephone,529,999,0,,no,1,2022-05-10
1,471,telephone,310,999,0,,no,1,2022-05-04
1,472,telephone,47,999,0,,no,1,2022-05-11
1,473,telephone,379,999,0,,no,1,2022-05-16
2,474,telephone,30,999,0,,no,1,2022-05-30
1,475,telephone,472,999,0,,no,1,2022-05-22
1,476,telephone,113,999,0,,no,1,2022-05-06
1,477,telephone,114,999,0,,no,1,2022-05-27
1,478,telephone,116,999,0,,no,1,2022-05-03
1,479,telephone,448,999,0,,no,1,2022-05-23
1,480,telephone,264,999,0,,no,1,2022-05-05
1,481,telephone,169,999,0,,no,1,2022-05-16
1,482,telephone,145,999,0,,no,1,2022-05-04
1,483,telephone,288,999,0,,no,1,2022-05-24
1,484,telephone,381,999,0,,no,1,2022-05-31
2,485,telephone,176,999,0,,no,1,2022-05-30
1,486,telephone,215,999,0,,no,1,2022-05-02
1,487,telephone,278,999,0,,no,1,2022-05-06
2,488,telephone,188,999,0,,no,1,2022-05-02
2,489,telephone,174,999,0,,no,1,2022-05-06
2,490,telephone,226,999,0,,no,1,2022-05-18
2,491,telephone,111,999,0,,no,1,2022-05-17
2,492,telephone,157,999,0,,no,1,2022-05-10
1,493,telephone,46,999,0,,no,1,2022-05-28
1,494,telephone,49,999,0,,no,1,2022-05-29
1,495,telephone,374,999,0,,no,1,2022-05-16
1,496,telephone,349,999,0,,no,1,2022-05-01
1,497,telephone,325,999,0,,no,1,2022-05-16
2,498,telephone,233,999,0,,no,1,2022-05-10
1,499,telephone,531,999,0,,no,1,2022-05-02
1,500,telephone,153,999,0,,no,1,2022-05-19
1,501,telephone,80,999,0,,no,1,2022-05-04
1,502,telephone,198,999,0,,no,1,2022-05-25
1,503,telephone,568,999,0,,no,1,2022-05-08
1,504,telephone,918,999,0,,yes,1,2022-05-31
1,505,telephone,82,999,0,,no,1,2022-05-10
3,506,telephone,198,999,0,,no,1,2022-05-10
1,507,telephone,211,999,0,,no,1,2022-05-11
1,508,telephone,120,999,0,,no,1,2022-05-12
1,509,telephone,269,999,0,,no,1,2022-05-25
1,510,telephone,128,999,0,,no,1,2022-05-09
2,511,telephone,166,999,0,,no,1,2022-05-17
1,512,telephone,211,999,0,,no,1,2022-05-19
1,513,telephone,369,999,0,,no,1,2022-05-11
1,514,telephone,91,999,0,,no,1,2022-05-21
2,515,telephone,267,999,0,,no,1,2022-05-04
1,516,telephone,198,999,0,,no,1,2022-05-28
2,517,telephone,371,999,0,,no,1,2022-05-08
2,518,telephone,288,999,0,,no,1,2022-05-11
1,519,telephone,221,999,0,,no,1,2022-05-08
1,520,telephone,427,999,0,,no,1,2022-05-01
1,521,telephone,310,999,0,,no,1,2022-05-23
1,522,telephone,158,999,0,,no,1,2022-05-04
1,523,telephone,198,999,0,,no,1,2022-05-19
1,524,telephone,145,999,0,,no,1,2022-05-02
1,525,telephone,247,999,0,,no,1,2022-05-04
1,526,telephone,102,999,0,,no,1,2022-05-07
2,527,telephone,179,999,0,,no,1,2022-05-06
1,528,telephone,73,999,0,,no,1,2022-05-16
2,529,telephone,263,999,0,,no,1,2022-05-22
2,530,telephone,342,999,0,,no,1,2022-05-07
1,531,telephone,41,999,0,,no,1,2022-05-25
